fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",S,Contributions to employee benefit plans,8526050,8526050
FY 2019-20,237,"Department of Housing, Infrastructure and Communities",S,Salary and Motor Car Allowance,88834,88834
FY 2019-20,238,Office of the Auditor General,1,Operating/Program,81073589,78319683
FY 2019-20,238,Office of the Auditor General,S,Contributions to employee benefit plans,9334130,9334130
FY 2019-20,238,Office of the Auditor General,S,Spending of proceeds from the disposal of surplus Crown assets,1715,674
FY 2019-20,239,Office of the Chief Electoral Officer,1,Operating/Program,47065240,41497127
FY 2019-20,239,Office of the Chief Electoral Officer,S,Contributions to employee benefit plans,11863719,11863719
FY 2019-20,239,Office of the Chief Electoral Officer,S,Electoral expenditures,517202172,517202172
FY 2019-20,239,Office of the Chief Electoral Officer,S,Salary of the Chief Electoral Officer,332653,332653
FY 2019-20,239,Office of the Chief Electoral Officer,S,Spending of proceeds from the disposal of surplus Crown assets,666,666
FY 2019-20,240,Office of the Commissioner for Federal Judicial Affairs,1,Operating/Program,10716917,9989567
FY 2019-20,240,Office of the Commissioner for Federal Judicial Affairs,10,Budget Implementation Vote,1168987,0
FY 2019-20,240,Office of the Commissioner for Federal Judicial Affairs,15,Budget Implementation Vote,24684,0
FY 2019-20,240,Office of the Commissioner for Federal Judicial Affairs,5,Operating/Program,4092490,2550717
FY 2019-20,240,Office of the Commissioner for Federal Judicial Affairs,S,Contributions to employee benefit plans,821434,821434
FY 2019-20,240,Office of the Commissioner for Federal Judicial Affairs,S,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",614696266,614696266
FY 2019-20,241,Office of the Commissioner of Lobbying,1,Operating/Program,4663725,4477967
FY 2019-20,241,Office of the Commissioner of Lobbying,S,Contributions to employee benefit plans,351114,351114
FY 2019-20,241,Office of the Commissioner of Lobbying,S,Spending of proceeds from the disposal of surplus Crown assets,28,28
FY 2019-20,242,Office of the Commissioner of Official Languages,1,Operating/Program,20459164,19448250
FY 2019-20,242,Office of the Commissioner of Official Languages,S,Contributions to employee benefit plans,2182990,2182990
FY 2019-20,242,Office of the Commissioner of Official Languages,S,Spending of proceeds from the disposal of surplus Crown assets,34,
FY 2019-20,244,Office of the Intelligence Commissioner,1,Operating/Program,2071302,1922815
FY 2019-20,244,Office of the Intelligence Commissioner,S,Contributions to employee benefit plans,184951,184951
FY 2019-20,245,Office of the Conflict of Interest and Ethics Commissioner,1,Operating/Program,6355513,6199290
FY 2019-20,245,Office of the Conflict of Interest and Ethics Commissioner,S,Contributions to employee benefit plans,686897,686897
FY 2019-20,246,Department for Women and Gender Equality,1,Operating/Program,47395094,44846442
FY 2019-20,246,Department for Women and Gender Equality,10,Budget Implementation Vote,349233,0
FY 2019-20,246,Department for Women and Gender Equality,5,Grants & Contributions,65836843,65836843
FY 2019-20,246,Department for Women and Gender Equality,S,Contributions to employee benefit plans,3775724,3775724
FY 2019-20,246,Department for Women and Gender Equality,S,Salary and Motor Car Allowance,87500,87500
FY 2019-20,246,Department for Women and Gender Equality,S,Spending of proceeds from the disposal of surplus Crown assets,290,
FY 2019-20,247,Office of the Correctional Investigator of Canada,1,Operating/Program,4907779,4894976
FY 2019-20,247,Office of the Correctional Investigator of Canada,S,Contributions to employee benefit plans,545982,545982
FY 2019-20,248,Office of the Director of Public Prosecutions,1,Operating/Program,185201803,176137310
FY 2019-20,248,Office of the Director of Public Prosecutions,5,Budget Implementation Vote,1200000,0
FY 2019-20,248,Office of the Director of Public Prosecutions,S,Contributions to employee benefit plans,16794495,16794495
FY 2019-20,249,Office of the Governor General's Secretary,1,Operating/Program,20957658,20134983
FY 2019-20,249,Office of the Governor General's Secretary,S,Annuities payable under the Governor General's Act,747418,747418
FY 2019-20,249,Office of the Governor General's Secretary,S,Contributions to employee benefit plans,1979693,1979693
FY 2019-20,249,Office of the Governor General's Secretary,S,Salary of the Governor General,306067,306067
FY 2019-20,249,Office of the Governor General's Secretary,S,Spending of proceeds from the disposal of surplus Crown assets,12843,12843
FY 2019-20,250,Office of the Public Sector Integrity Commissioner,1,Operating/Program,5275715,4960450
FY 2019-20,250,Office of the Public Sector Integrity Commissioner,S,Contributions to employee benefit plans,438151,438151
FY 2019-20,250,Office of the Public Sector Integrity Commissioner,S,Spending of proceeds from the disposal of surplus Crown assets,84,
FY 2019-20,251,Office of the Senate Ethics Officer,1,Operating/Program,1231278,954521
FY 2019-20,251,Office of the Senate Ethics Officer,S,Contributions to employee benefit plans,99979,99979
FY 2019-20,253,Office of the Superintendent of Financial Institutions,1,Operating/Program,1501204,1501204
FY 2019-20,253,Office of the Superintendent of Financial Institutions,S,Spending of proceeds from the disposal of surplus Crown assets,1055,1055
FY 2019-20,253,Office of the Superintendent of Financial Institutions,S,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,258660671,192131875
FY 2019-20,256,Offices of the Information and Privacy Commissioners of Canada,1,Operating/Program,14705641,13146702
FY 2019-20,256,Offices of the Information and Privacy Commissioners of Canada,10,Budget Implementation Vote,459147,0
FY 2019-20,256,Offices of the Information and Privacy Commissioners of Canada,15,Budget Implementation Vote,1050803,0
FY 2019-20,256,Offices of the Information and Privacy Commissioners of Canada,5,Operating/Program,27591920,25947764
FY 2019-20,256,Offices of the Information and Privacy Commissioners of Canada,S,Contributions to employee benefit plans,3829119,3829119
FY 2019-20,256,Offices of the Information and Privacy Commissioners of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,23593,222
FY 2019-20,263,Parks Canada Agency,1,Operating/Program,1932377321,1219082783
FY 2019-20,263,Parks Canada Agency,5,Other,26323000,26323000
FY 2019-20,263,Parks Canada Agency,S,Contributions to employee benefit plans,58532629,58532629
FY 2019-20,263,Parks Canada Agency,S,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,196329322,176336244
FY 2019-20,266,Patented Medicine Prices Review Board,1,Operating/Program,16005929,12162264
FY 2019-20,266,Patented Medicine Prices Review Board,S,Contributions to employee benefit plans,1150279,1150279
FY 2019-20,266,Patented Medicine Prices Review Board,S,Spending of proceeds from the disposal of surplus Crown assets,1337,1337
FY 2019-20,278,Privy Council Office,1,Operating/Program,176769076,168470636
FY 2019-20,278,Privy Council Office,S,Contributions to employee benefit plans,16432876,16432876
FY 2019-20,278,Privy Council Office,S,Salary and Motor Car Allowance,446178,446178
FY 2019-20,278,Privy Council Office,S,Spending of proceeds from the disposal of surplus Crown assets,3974,
FY 2019-20,280,Public Health Agency of Canada,1,Operating/Program,601500196,598335263
FY 2019-20,280,Public Health Agency of Canada,10,Grants & Contributions,252077883,245035952
FY 2019-20,280,Public Health Agency of Canada,15,Budget Implementation Vote,223357,0
FY 2019-20,280,Public Health Agency of Canada,20,Budget Implementation Vote,0,0
FY 2019-20,280,Public Health Agency of Canada,25,Budget Implementation Vote,138377,0
FY 2019-20,280,Public Health Agency of Canada,5,Capital,8156967,7733964
FY 2019-20,280,Public Health Agency of Canada,S,Contributions to employee benefit plans,30769403,30769403
FY 2019-20,280,Public Health Agency of Canada,S,Refunds of amounts credited to revenues in previous years,9130,9130
FY 2019-20,280,Public Health Agency of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,103577,103577
FY 2019-20,280,Public Health Agency of Canada,S,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",10618318,10618318
FY 2019-20,282,Public Service Commission,1,Operating/Program,83758487,83033627
FY 2019-20,282,Public Service Commission,S,Contributions to employee benefit plans,10544582,10544582
FY 2019-20,282,Public Service Commission,S,Refunds of amounts credited to revenues in previous years,32052,32052
FY 2019-20,282,Public Service Commission,S,Spending of proceeds from the disposal of surplus Crown assets,1569,1569
FY 2019-20,288,Registrar of the Supreme Court of Canada,1,Operating/Program,27743891,26250421
FY 2019-20,288,Registrar of the Supreme Court of Canada,S,Contributions to employee benefit plans,2758002,2758002
FY 2019-20,288,Registrar of the Supreme Court of Canada,S,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",8761742,8761742
FY 2019-20,288,Registrar of the Supreme Court of Canada,S,Refunds of amounts credited to revenues in previous years,75,75
FY 2019-20,288,Registrar of the Supreme Court of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,11852,11775
FY 2019-20,295,Royal Canadian Mounted Police,1,Operating/Program,2896500434,2752391824
FY 2019-20,295,Royal Canadian Mounted Police,10,Grants & Contributions,408064683,333895510
FY 2019-20,295,Royal Canadian Mounted Police,15,Budget Implementation Vote,368326,0
FY 2019-20,295,Royal Canadian Mounted Police,20,Budget Implementation Vote,3321416,0
FY 2019-20,295,Royal Canadian Mounted Police,25,Budget Implementation Vote,188820,0
FY 2019-20,295,Royal Canadian Mounted Police,30,Budget Implementation Vote,4100000,0
FY 2019-20,295,Royal Canadian Mounted Police,35,Budget Implementation Vote,0,0
FY 2019-20,295,Royal Canadian Mounted Police,5,Capital,325624557,246782840
FY 2019-20,295,Royal Canadian Mounted Police,S,Contributions to employee benefit plans,82230231,82230231
FY 2019-20,295,Royal Canadian Mounted Police,S,Pensions and other employee benefits - Members of the Force,1302844382,1302844382
FY 2019-20,295,Royal Canadian Mounted Police,S,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,5958348,5958348
FY 2019-20,295,Royal Canadian Mounted Police,S,Refunds of amounts credited to revenues in previous years,412172,412172
FY 2019-20,295,Royal Canadian Mounted Police,S,Spending of proceeds from the disposal of surplus Crown assets,15440164,8458616
FY 2019-20,296,Royal Canadian Mounted Police External Review Committee,1,Operating/Program,3918215,2882311
FY 2019-20,296,Royal Canadian Mounted Police External Review Committee,S,Contributions to employee benefit plans,250590,250590
FY 2019-20,297,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,1,Operating/Program,10235241,9552289
