"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2019-20","Canadian Food Inspection Agency","Main Estimates","Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",12500000
"FY 2019-20","Canadian Food Inspection Agency","Main Estimates","Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act",53161000
"FY 2019-20","Canadian Grain Commission","Main Estimates","Contributions to employee benefit plans",664219
"FY 2019-20","Canadian Grain Commission","Main Estimates","Canadian Grain Commission Revolving Fund",630315
"FY 2019-20","Canadian High Arctic Research Station","Main Estimates","Contributions to employee benefit plans",1097559
"FY 2019-20","Canadian Human Rights Commission","Main Estimates","Contributions to employee benefit plans",2777159
"FY 2019-20","Canadian Institutes of Health Research","Main Estimates","Contributions to employee benefit plans",6805322
"FY 2019-20","Canadian Intergovernmental Conference Secretariat","Main Estimates","Contributions to employee benefit plans",461945
"FY 2019-20","Canadian Northern Economic Development Agency","Main Estimates","Contributions to employee benefit plans",1513878
"FY 2019-20","Canadian Nuclear Safety Commission","Main Estimates","Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act",101213529
"FY 2019-20","Canadian Nuclear Safety Commission","Main Estimates","Contributions to employee benefit plans",4295397
"FY 2019-20","Canadian Radio-television and Telecommunications Commission","Main Estimates","Contributions to employee benefit plans",8074981
"FY 2019-20","Canadian Security Intelligence Service","Main Estimates","Contributions to employee benefit plans",51040942
"FY 2019-20","Canadian Space Agency","Main Estimates","Contributions to employee benefit plans",10311635
"FY 2019-20","Canadian Transportation Accident Investigation and Safety Board","Main Estimates","Contributions to employee benefit plans",3649722
"FY 2019-20","Canadian Transportation Agency","Main Estimates","Contributions to employee benefit plans",3470333
"FY 2019-20","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Main Estimates","Contributions to employee benefit plans",995743
"FY 2019-20","Communications Security Establishment","Main Estimates","Contributions to employee benefit plans",44980219
"FY 2019-20","Copyright Board","Main Estimates","Contributions to employee benefit plans",396271
"FY 2019-20","Correctional Service of Canada","Main Estimates","Contributions to employee benefit plans",234334808
"FY 2019-20","Courts Administration Service","Main Estimates","Contributions to employee benefit plans",7851391
"FY 2019-20","Department for Women and Gender Equality","Main Estimates","Contributions to employee benefit plans",4177555
"FY 2019-20","Department for Women and Gender Equality","Main Estimates","Salary and Motor Car Allowance",87700
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",118513335
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriInvest Program",139460000
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Canadian Pari-Mutuel Agency Revolving Fund",-280
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Contributions to employee benefit plans",65440853
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Salary and Motor Car Allowance",87700
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Loan guarantees under the Canadian Agricultural Loans Act",13111013
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",65900000
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Contribution payments for the AgriInsurance program",623000000
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Grant and Contribution Payments for the AgriStability Program",424150000
"FY 2019-20","Department of Agriculture and Agri-Food","Main Estimates","Grants to agencies established under the Farm Products Agencies Act",100000
"FY 2019-20","Department of Canadian Heritage","Main Estimates","Contributions to employee benefit plans",24362659
"FY 2019-20","Department of Canadian Heritage","Main Estimates","Salary and Motor Car Allowance",175400
"FY 2019-20","Department of Canadian Heritage","Main Estimates","Supplementary retirement benefits - Former Lieutenant Governors",182000
"FY 2019-20","Department of Canadian Heritage","Main Estimates","Payments under the Lieutenant Governors Superannuation Act",637000
"FY 2019-20","Department of Canadian Heritage","Main Estimates","Salaries of the Lieutenant Governors",1196000
"FY 2019-20","Department of Citizenship and Immigration","Main Estimates","Passport Canada Revolving Fund (Revolving Funds Act)",178824148
"FY 2019-20","Department of Citizenship and Immigration","Main Estimates","Contributions to employee benefit plans",74502816
"FY 2019-20","Department of Citizenship and Immigration","Main Estimates","Salary and Motor Car Allowance",87700
"FY 2019-20","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Indian Annuities Treaty payments",1400000
"FY 2019-20","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grassy Narrows and Islington Bands Mercury Disability Board",15000
"FY 2019-20","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Salary and Motor Car Allowance",87700
"FY 2019-20","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts",52334224
"FY 2019-20","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Payments to comprehensive claim beneficiaries in compensation for resource royalties",1858791
"FY 2019-20","Department of Crown-Indigenous Relations and Northern Affairs","Main Estimates","Contributions to employee benefit plans",40408670
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Civil Service Insurance actuarial liability adjustments",145000
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",955000000
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",185000000
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Universal Child Care Benefit (Universal Child Care Benefit Act)",300000
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Salary and Motor Car Allowance",263100
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",1454300000
"FY 2019-20","Department of Employment and Social Development","Main Estimates","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act",4027693
"FY 2019-20","Department of Employment and Social Development","Main Estimates","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act",-2402168
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",931033990
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Allowance payments (Old Age Security Act)",555082525
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Old Age Security payments (Old Age Security Act)",42754293790
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Guaranteed Income Supplement Payments (Old Age Security Act)",12894967152
"FY 2019-20","Department of Employment and Social Development","Main Estimates","Contributions to employee benefit plans",214730021
